Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-19 16:18:57.218935,-2810,0,-7507,0,4920,0,-2781,0,-7977,0,-229,0,-3392,0,-4892,0,7668,0,-6663,0,5789,0,4514,0,-1990,0,133,-48,?
2016-12-19 16:18:57.242788,1,0,0,24,-1,0,-2,0,-1,0,-1,0,0,0,1,0,0,0,2,0,3,0,1,0,1,0,-5,-3,?
2016-12-19 16:18:57.262768,1,0,0,24,-1,0,-2,0,-1,0,-1,0,0,0,1,0,0,0,2,0,3,0,1,0,1,0,-5,-3,?
2016-12-19 16:18:57.275028,1,0,0,24,-1,0,-2,0,-1,0,-1,0,0,0,1,0,0,0,2,0,3,0,1,0,1,0,-5,-3,?
