Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-19 16:36:31.357760,62,0,-312,0,-319,0,127,0,625,0,-370,0,689,0,-720,0,352,0,703,0,351,0,172,0,-60,0,-8,15,?
2016-12-19 16:36:31.357816,62,0,-312,0,-319,0,127,0,625,0,-370,0,689,0,-720,0,352,0,703,0,351,0,172,0,-60,0,-8,15,?
2016-12-19 16:36:31.376432,-28,0,-475,0,-245,0,47,0,617,0,-423,0,677,0,-704,0,385,0,773,0,683,0,568,0,-417,0,-6,15,?
2016-12-19 16:36:31.376585,-28,0,-475,0,-245,0,47,0,617,0,-423,0,677,0,-704,0,385,0,773,0,683,0,568,0,-417,0,-6,15,?
