Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-19 16:19:00.808294,322,0,-9,0,-372,0,39,0,688,0,-30,16,462,0,-661,0,312,0,588,0,30,0,104,0,318,0,-1,0,?
2016-12-19 16:19:00.808381,322,0,-9,0,-372,0,39,0,688,0,-30,16,462,0,-661,0,312,0,588,0,30,0,104,0,318,0,-1,0,?
2016-12-19 16:19:00.815118,323,0,-10,0,-372,0,39,0,690,0,-32,16,462,0,-660,0,314,0,588,0,35,0,106,0,317,0,-1,0,?
2016-12-19 16:19:00.833315,338,0,-9,0,-377,0,29,0,686,0,-37,16,470,0,-661,16,309,0,610,0,74,0,116,24,352,0,-1,0,?
2016-12-19 16:19:00.833389,338,0,-9,0,-377,0,29,0,686,0,-37,16,470,0,-661,16,309,0,610,0,74,0,116,24,352,0,-1,0,?
2016-12-19 16:19:00.833443,338,0,-9,0,-377,0,29,0,686,0,-37,16,470,0,-661,16,309,0,610,0,74,0,116,24,352,0,-1,0,?
2016-12-19 16:19:00.845005,338,0,-9,0,-377,0,29,0,686,0,-37,16,470,0,-661,16,309,0,610,0,74,0,116,24,352,0,-1,0,?
2016-12-19 16:19:00.852200,338,0,-9,0,-377,0,29,0,686,0,-37,16,470,0,-661,16,309,0,610,0,74,0,116,24,352,0,-1,0,?
